name,speed,shootAccuracy,shootPower,defense,stamina,totalScore
Mario Goetze,68,78,68,16,68,68.40
Mathieu Duhamel,66,77,72,18,60,68.40
Matt Done,80,69,57,49,83,68.40
Mauro Formica,78,65,70,23,67,68.40
Michel,66,59,81,58,74,68.40
Oscar Diaz,69,63,80,26,70,68.40
Pirmin Schwegler,65,61,77,73,77,68.40
Queensy Menig,84,66,65,16,62,68.40
Ryo Miyaichi,94,57,63,22,62,68.40
Aaron Cresswell,78,53,71,76,79,68.35
Andre Martins,78,65,65,47,72,68.35
Bruno Moreira,55,79,78,26,69,68.35
Daniel Brosinski,86,54,62,72,83,68.35
Evandro Goebel,64,69,77,40,67,68.35
Frank Nouble,80,62,71,25,64,68.35
Jonathan Blondel,73,57,74,67,76,68.35
Marcus Regis Coco,87,62,65,23,60,68.35
Martin Nespor,74,72,66,31,64,68.35
Nabil El Zhar,77,64,72,25,64,68.35
Rickie Lambert,46,81,85,30,65,68.35
Sebastian Kerk,71,62,80,31,58,68.35
Soeren Rieks,76,69,67,27,68,68.35
Thomas Matton,67,72,70,29,84,68.35
Tuncay Sanli,65,74,74,34,55,68.35
Vahid Hashemian,69,73,71,28,61,68.35
Virgil van Dijk,67,55,81,77,72,68.35
Youssef Adnane,71,74,68,15,74,68.35
Achraf Lazaar,82,43,77,69,85,68.30
Adam Taggart,76,66,69,29,71,68.30
Andre Biyogo Poko,74,58,69,77,83,68.30
Anthony Ribelin,74,65,68,56,68,68.30
Carlos Fonseca,77,68,67,21,73,68.30
Christian Bekamenga,70,70,73,17,71,68.30
Florian Klein,79,53,69,73,87,68.30
Georgios Samaras,76,67,67,25,81,68.30
Ireneusz Jelen,75,68,70,22,66,68.30
Marcelo Zalayeta,69,70,71,37,69,68.30
Matheuzinho,78,64,67,42,70,68.30
Omar Bravo,67,73,71,26,74,68.30
Papa Bouba Diop,53,59,91,76,72,68.30
Ricky van Wolfswinkel,67,76,69,22,72,68.30
Romario Balde,78,62,73,26,62,68.30
Sassa,83,64,67,15,67,68.30
Sebastian Fernandez,75,73,65,21,67,68.30
Sehrou Guirassy,73,71,69,31,57,68.30
Thomas Foket,78,57,67,67,87,68.30
Zezinho,75,63,66,68,74,68.30
Adam Gyurcso,78,68,68,14,67,68.25
Allan Saint-Maximin,84,61,69,23,58,68.25
Barreto,76,69,67,25,68,68.25
Boudewijn Zenden,67,68,77,32,61,68.25
Clinton Mata,86,53,66,58,77,68.25
David Templeton,89,60,61,41,64,68.25
Dawid Plizga,82,63,65,27,78,68.25
Gaizka Toquero,74,57,76,46,77,68.25
Issam Jemaa,77,67,68,30,63,68.25
Jacopo Sala,78,51,74,68,79,68.25
Jeanvion Yulu-Matondo,79,62,69,27,78,68.25
Julio Baptista,52,74,85,47,52,68.25
Laryea Kingston,72,63,71,60,69,68.25
Lucho Gonzalez,67,68,74,57,54,68.25
Mbaye Leye,67,73,71,28,71,68.25
Michal Kucharczyk,83,60,68,29,70,68.25
Michu,56,77,79,21,72,68.25
Pierre Webo,65,76,72,25,62,68.25
Rafa Soares,77,53,75,64,71,68.25
Robert Ibanez,75,68,68,41,58,68.25
Romain Grange,78,59,74,24,75,68.25
Ryan Donk,69,55,79,75,72,68.25
Sergio Zijler,84,64,62,31,74,68.25
Stephen Quinn,68,66,70,58,83,68.25
Tomi Juric,67,70,75,29,64,68.25
Valerien Ismael,72,49,84,75,60,68.25
Yassine Ayoub,67,65,73,50,85,68.25
Abdelaziz Barrada,76,64,71,35,63,68.20
Alex Martinez,79,44,79,73,79,68.20
Christopher Maguire,74,64,72,33,71,68.20
Daniel Agger,67,56,81,77,63,68.20
Graham Dorrans,65,64,77,51,77,68.20
Guillermo Molins,67,71,76,25,55,68.20
Jacek Kielb,77,63,70,22,82,68.20
Jonas Hector,77,55,69,74,84,68.20
Josh Magennis,80,61,66,48,74,68.20
Leandro Daniel Paredes,69,55,81,59,75,68.20
Luis Rocha,74,58,74,57,71,68.20
Luis Seijas,65,66,75,54,74,68.20
Mesut Oezil,68,75,70,22,64,68.20
Michael de Leeuw,62,78,67,39,83,68.20
Pierrick Valdivia,64,70,70,68,72,68.20
Richard Knopper,66,70,76,29,63,68.20
Robert Pich,83,62,66,25,73,68.20
Ruben Amorim,67,62,74,71,75,68.20
Samuele Longo,75,70,69,11,69,68.20
Sebastian Rajalakso,78,52,77,36,86,68.20
Steve Morison,65,66,76,42,80,68.20
Thomas Bruns,75,64,66,50,84,68.20
Tobias Kempe,76,61,72,30,80,68.20
Yoni Buyens,69,58,75,64,88,68.20
Adama Traore,86,52,64,71,80,68.15
Armando Sadiku,78,68,68,20,59,68.15
Aurelien Chedjou,74,58,70,75,76,68.15
Aymen Tahar,74,58,74,58,69,68.15
Bartosz Bereszynski,82,57,63,69,82,68.15
Clemens Walch,79,65,67,26,71,68.15
Csaba Feher,64,63,78,62,71,68.15
Dean Marney,66,64,72,68,83,68.15
Gevaro Nepomuceno,74,64,73,23,74,68.15
Gregory Tade,80,62,71,14,71,68.15
James Wilson,79,69,65,16,69,68.15
Johannes Geis,62,51,88,76,81,68.15
Jorge Molina,52,76,83,30,67,68.15
Lucas Matias Licht,80,52,71,74,71,68.15
Marc Janko,53,81,78,28,63,68.15
Matias Vitkieviez,79,59,73,25,72,68.15
Oliver Myny,82,62,67,22,75,68.15
Pasquale Schiattarella,78,57,70,51,82,68.15
Renato Augusto,69,62,80,25,72,68.15
Robert Cullen,75,65,68,42,73,68.15
Ruben Neves,66,60,77,69,76,68.15
Serhat Koc,82,66,64,23,68,68.15
Simon Diedhiou,81,64,68,18,67,68.15
Steffen Ernemann,65,59,80,59,80,68.15
Yohan Croizet,74,67,72,27,58,68.15
Zdenek Pospech,78,49,74,73,84,68.15
Abel,76,53,73,73,77,68.10
Andrew Keogh,76,71,61,27,87,68.10
Charles Dissels,75,68,68,30,66,68.10
Douglas,67,69,74,32,70,68.10
Edouard Duplan,65,74,67,54,72,68.10
Iago Falque,79,73,57,35,73,68.10
Jose Javier Barkero,59,69,82,42,60,68.10
Julian Montenegro,77,57,72,58,68,68.10
Keko,76,68,67,24,72,68.10
Kelvin,79,64,72,13,59,68.10
Libor Kozak,55,82,75,25,65,68.10
Mirko Antenucci,69,71,71,26,70,68.10
Rinaldo Cruzado,64,60,79,63,81,68.10
Ruben Ferreira,76,50,74,72,90,68.10
Sakari Mattila,66,63,74,69,75,68.10
Sokratis Papastathopoulos,77,44,79,88,74,68.10
Tiago Pinto,79,48,75,67,83,68.10
Toko Nzuzi,90,48,64,60,90,68.10
Tosin Dosunmu,83,63,65,25,71,68.10
Tripy Makonda,76,55,76,64,56,68.10
Xisco Nadal,72,66,71,43,65,68.10
Yossi Benayoun,68,75,69,37,53,68.10
Aleksandar Prijovic,68,74,67,32,75,68.05
Alexandru Maxim,74,68,71,19,64,68.05
Charlton Vicento,89,63,61,21,62,68.05
Chumbinho,76,67,66,35,72,68.05
David Abraham,79,48,76,75,68,68.05
Dominic Solanke,75,69,68,24,65,68.05
Edgar Barreto,68,53,83,65,72,68.05
Elvis Abbruscato,70,73,70,12,71,68.05
Erik Nevland,73,61,77,34,61,68.05
Federico Nicolas Cartabia,72,65,75,26,63,68.05
Ibrahim Kargbo,69,49,86,60,77,68.05
Jose Leonardo Ulloa,61,74,76,27,68,68.05
Kieran Trippier,78,45,77,76,85,68.05
Kingsley Boateng,87,59,66,21,68,68.05
Maynor Figueroa,72,49,81,69,80,68.05
Olivier Dacourt,75,49,77,79,76,68.05
Paulinho,75,65,70,28,73,68.05
Pawel Olkowski,85,49,67,71,84,68.05
Ridge Munsy,76,66,68,27,74,68.05
Roberto Rosales,78,51,73,63,86,68.05
Sherjill MacDonald,81,63,69,21,62,68.05
Stefan Johansen,70,59,73,60,89,68.05
Steven Whittaker,69,60,73,70,79,68.05
Willian Jose,60,69,82,29,66,68.05
Alex Kacaniklic,79,67,65,27,67,68.00
Alex,79,67,65,27,67,68.00
Angel Lafita,71,64,78,23,59,68.00
Benoit Assou-Ekotto,80,40,82,73,75,68.00
Boukari Drame,84,40,77,72,82,68.00
Carlos Eduardo,67,64,76,46,72,68.00
Davide Calla,74,68,68,23,77,68.00
Davide Possanzini,77,65,70,22,66,68.00
Emanuele Giaccherini,69,64,72,54,76,68.00
Erik Jendrisek,81,65,64,30,70,68.00
Erton Fejzullahu,72,70,69,25,69,68.00
Florian Dick,68,53,82,68,74,68.00
Formose Mendy,83,59,67,24,82,68.00
Francesco Renzetti,85,50,65,70,90,68.00
Franck Etoundi,77,64,67,32,80,68.00
Graham Carey,72,61,73,53,71,68.00
Ioannis Maniatis,74,57,71,73,75,68.00
Ivan Lopez,82,52,68,71,77,68.00
Jeroen Lumu,84,62,66,25,63,68.00
Joan Oriol,78,51,72,73,81,68.00
Kevin Constant,79,50,75,60,76,68.00
Leandro Romagnoli,73,65,74,30,58,68.00
Ludovic Giuly,74,70,71,36,34,68.00
Stanislav Manolev,74,58,69,68,86,68.00
Toby Alderweireld,69,45,86,85,75,68.00
Torgeir Boerven,73,63,73,33,73,68.00
Vlad Munteanu,74,60,77,22,72,68.00
Amin Affane,78,61,73,29,58,67.95
Branco van den Boomen,70,58,78,52,71,67.95
Clement Grenier,58,66,84,49,62,67.95
Cristian Sapunaru,70,60,72,73,74,67.95
Danilo Cataldi,69,60,75,60,75,67.95
David Beckham,62,62,79,60,81,67.95
Douglas Abner,79,67,67,18,63,67.95
Euzebiusz Smolarek,74,67,70,28,65,67.95
Fernando Neto,74,62,72,52,59,67.95
Heinrich Schmidtgal,75,53,77,65,64,67.95
Ivanildo,78,61,71,33,66,67.95
John Bostock,65,66,77,39,72,67.95
Jonathan Wilmet,78,61,72,25,68,67.95
Joris Kayembe Ditu,85,60,66,35,58,67.95
Kara Mbodji,78,45,78,72,81,67.95
Lukasz Boguslawski,76,70,66,17,70,67.95
Marko Livaja,65,72,75,18,69,67.95
Miguel,74,48,81,70,71,67.95
Nick van der Velden,61,64,79,53,82,67.95
Pavel Kaderabek,79,56,66,74,79,67.95
Reynaldo,82,64,67,17,64,67.95
Ruben Rochina,69,66,77,21,66,67.95
Sebastien Siani,66,61,76,63,78,67.95
Sebino Plaku,86,61,62,35,70,67.95
Younousse Sankhare,69,61,72,67,80,67.95
Alistair Crawford,72,66,65,58,82,67.90
Christian Pander,68,51,85,69,65,67.90
Diogo Cunha,76,64,68,35,75,67.90
Emiliano Sala,63,75,71,25,79,67.90
Ernest Webnje Nfor,73,69,70,24,62,67.90
Ferran Corominas,72,69,68,30,74,67.90
Gonzalo Bergessio,67,69,74,26,72,67.90
Hamdi Harbaoui,69,71,72,13,73,67.90
Hicham Faik,64,58,84,52,70,67.90
Jakub Vojtus,76,71,64,25,67,67.90
Joshua Guilavogui,73,49,78,79,79,67.90
Kim Kaellstroem,51,70,83,58,76,67.90
Liam Craig,73,62,69,63,71,67.90
Luis Aurelio,66,62,76,50,84,67.90
Luka Djordjevic,81,74,60,17,51,67.90
Pape Kouli Diop,64,57,82,62,78,67.90
Rihairo Meulens,83,61,68,21,65,67.90
Sebastien Pocognoli,77,50,73,74,84,67.90
Sejad Salihovic,48,70,88,59,63,67.90
Alexander Ring,77,52,73,65,80,67.85
Amin Younes,74,68,69,25,66,67.85
Anthony Stokes,71,67,75,17,62,67.85
Bartosz Kapustka,78,63,65,55,66,67.85
Betinho,73,72,68,21,58,67.85
Bonaventure Kalou,72,69,68,37,66,67.85
Brandley Kuwas,77,61,74,21,64,67.85
Clesio Bauque,78,53,73,64,69,67.85
Cyriel Dessers,76,67,70,15,64,67.85
David Silva,68,72,71,23,68,67.85
Derick Chuka Ogbu,75,66,73,15,58,67.85
Diogo Viana,82,56,72,25,72,67.85
Elson Hooi,88,61,62,25,66,67.85
Elyaniv Barda,70,72,68,29,68,67.85
Mihai Alexandru Roman,73,64,75,24,61,67.85
Nasief Morris,75,56,72,72,67,67.85
Niki Zimling,64,60,78,68,77,67.85
Nile Ranger,73,67,73,16,63,67.85
Pascal Feindouno,74,65,73,32,53,67.85
Renatinho,74,71,66,30,61,67.85
Simon Murray,85,60,69,16,57,67.85
Stephane Darbion,64,68,74,48,73,67.85
Tommer Hemed,64,72,76,17,68,67.85
Zavon Hines,90,58,63,15,76,67.85
Adam Hlousek,75,54,73,67,77,67.80
Daniele Cacia,67,74,72,13,65,67.80
Dorvalino Alves Maciel Lino,66,64,76,69,51,67.80
Ghislain Gimbert,63,72,73,37,71,67.80
Joao Ribeiro,76,60,76,32,52,67.80
Kingsley Ehizibue,79,59,68,62,58,67.80
Kolo Toure,68,56,78,78,66,67.80
Maranhao,78,68,68,15,57,67.80
Nano,79,55,69,57,81,67.80
Paulo Henrique,72,70,72,16,56,67.80
Peniel Kokou Mlapa,81,61,70,17,67,67.80
Renan Bressan,63,70,78,31,59,67.80
Robin Gosens,72,57,73,63,81,67.80
Salim Cisse,68,69,74,18,72,67.80
Samuel Scheimann,76,55,71,62,82,67.80
Uros Matic,74,61,69,45,87,67.80
Adel Taarabt,67,67,79,29,48,67.75
Alessandro Schoepf,75,66,68,26,75,67.75
Bolatti,65,57,79,69,80,67.75
Bruno Mendes,70,70,73,21,56,67.75
Bruno Pereirinha,79,58,65,65,78,67.75
Cedric Makiadi,66,59,76,75,74,67.75
Danilo D'Ambrosio,79,48,73,76,79,67.75
Danilo,69,51,81,72,77,67.75
Erick Moreno,70,69,71,24,71,67.75
Issiaga Sylla,74,64,64,64,79,67.75
Juanto,68,69,74,17,72,67.75
Kyle Lafferty,66,68,75,33,68,67.75
Luwagga Kizito,74,69,71,26,45,67.75
Mariusz Stepinski,73,72,68,19,58,67.75
Odair Fortes,91,58,62,24,65,67.75
Sebastian Leto,72,66,75,20,57,67.75
Tim Matthijs,65,68,70,62,75,67.75
Yann Jouffre,74,65,68,50,63,67.75
Yannis Tafer,77,66,68,25,64,67.75
Zezinho,75,66,70,39,50,67.75
Arsenio Valpoort,83,57,73,19,57,67.70
Eric Durm,83,50,66,73,87,67.70
Fernando,68,68,73,37,63,67.70
Filip Djuricic,77,67,67,24,64,67.70
Francisco Navarro Yeste,64,73,76,14,62,67.70
Giovanni Korte,84,63,64,22,66,67.70
Goran Karanovic,84,64,62,30,64,67.70
Matias Vecino,68,58,76,64,78,67.70
Mounir Obbadi,63,65,75,63,73,67.70
Ogenyi Onazi,78,49,74,64,84,67.70
Omar Kossoko,77,61,73,21,67,67.70
Raul Rusescu,68,72,71,23,65,67.70
Reinhold Yabo,78,59,64,64,84,67.70
Suso Santana,83,62,60,49,75,67.70
Tim Keurntjes,78,61,70,36,64,67.70
Xisco,61,68,82,18,70,67.70
Yoann Gourcuff,68,66,77,48,40,67.70
Bekim Balaj,69,67,73,25,74,67.65
Charlie Adam,46,74,85,58,65,67.65
Cleber Santana,66,64,75,54,69,67.65
Daniel Moreira,70,67,72,32,67,67.65
Fabian Orellana,78,75,59,18,63,67.65
Glenn Murray,59,77,74,24,69,67.65
Guilherme,76,58,70,55,74,67.65
Javier Ros,72,53,78,55,80,67.65
Leandro Grimi,75,56,70,74,73,67.65
Ludovic Genest,78,66,67,14,73,67.65
Mikel Rico,57,64,81,60,81,67.65
Pedro Lopez,74,53,75,72,69,67.65
Rodrigo Pinho,69,71,73,14,61,67.65
Sebastian Rudy,68,63,71,63,78,67.65
Stephane Noro,64,64,76,58,71,67.65
Vasco Costa,79,66,69,15,54,67.65
Ali Boussaboun,69,65,77,24,62,67.60
Anthony Andreu,67,69,68,54,74,67.60
Bryan Oviedo,73,61,66,73,79,67.60
Esteban Solari,66,76,68,23,69,67.60
Fouad Idabdelhay,76,67,65,31,73,67.60
Goran Pandev,65,71,76,25,55,67.60
Jonathan Viera,74,73,65,15,65,67.60
Kwabena Asamoa Frimpong,70,67,72,27,71,67.60
Levan Mchedlidze,69,73,70,14,66,67.60
Mamadou Niang,73,67,70,24,68,67.60
Michel,65,70,76,28,58,67.60
Nicolas Lodeiro,74,63,71,29,75,67.60
Renaud Emond,70,75,67,15,65,67.60
Romaric,52,66,84,64,76,67.60
Tom van Weert,65,77,69,20,66,67.60
Vincent Nogueira,73,66,64,59,75,67.60
Alberto Gilardino,62,79,71,19,60,67.55
Ben Rienstra,65,62,73,67,84,67.55
Brecht Capon,74,64,62,73,78,67.55
Callum McManaman,76,70,64,30,61,67.55
Cillian Sheridan,73,68,71,15,64,67.55
Claudemir,66,64,72,56,83,67.55
Declan John,82,50,71,61,72,67.55
Fares Bahlouli,76,58,76,39,52,67.55
Federico Viviani,69,58,76,62,71,67.55
Jakob Jantscher,76,60,71,33,76,67.55
Jose Rodriguez,71,64,68,63,70,67.55
Karim Guede,63,65,74,54,85,67.55
Kevin Mayi,86,70,59,21,40,67.55
Liam Boyce,71,68,72,12,73,67.55
Nenad Milijas,54,71,80,54,67,67.55
Oliver Neuville,72,70,68,25,66,67.55
Simon Thern,76,62,66,43,84,67.55
Stefan Nijland,66,77,67,26,65,67.55
Torsten Oehrl,66,68,77,24,61,67.55
Xavi Hernandez,65,74,67,55,60,67.55
Adrien Rabiot,62,66,75,59,73,67.50
Akos Buzsaky,68,65,73,47,67,67.50
Andreas Lasnik,69,60,81,21,69,67.50
Christian Eigler,77,63,71,25,59,67.50
Colin Kazim-Richards,70,61,79,18,72,67.50
Damien Duff,64,69,74,55,53,67.50
Davide Chiumiento,75,64,70,26,70,67.50
Davide Santon,79,46,74,74,82,67.50
Esteban Cambiasso,55,69,78,69,69,67.50
Fernando,68,54,76,78,84,67.50
Henri Anier,78,61,74,13,59,67.50
Ibrahim Sissoko,84,62,63,24,72,67.50
Luis Carlos,74,65,66,52,68,67.50
Marcos Lopes,77,66,66,30,66,67.50
Mike Havenaar,69,69,72,16,74,67.50
Nene,68,73,72,18,54,67.50
Niclas Fuellkrug,72,68,70,16,74,67.50
Olivier Monterubbio,70,67,74,18,66,67.50
Rossetto Michel Simplicio,71,66,73,24,66,67.50
Sidnei,83,60,69,13,65,67.50
Simone Missiroli,68,66,68,60,78,67.50
Wagner,80,65,65,23,67,67.50
Adriano,77,71,60,21,80,67.45
Bouna Sarr,76,63,68,34,73,67.45
Christian,68,59,82,30,65,67.45
Christopher Kane,81,64,69,33,32,67.45
Daniel Beichler,77,64,66,36,71,67.45
Danzell Gravenberch,79,54,73,58,55,67.45
Denzel Slager,82,59,70,25,58,67.45
Elio Martins,55,69,81,48,71,67.45
Jan Schlaudraff,69,68,74,25,58,67.45
Johan Cavalli,75,62,66,52,79,67.45
Juan Bernat,78,57,63,82,79,67.45
Karim Tarfi,66,58,79,59,72,67.45
Mista,68,69,70,36,71,67.45
Nicola Bellomo,75,60,69,56,69,67.45
Simon Gustafson,65,66,75,45,68,67.45
Stephan Andrist,83,57,67,43,64,67.45
Cristiano Biraghi,78,40,81,78,76,67.40
Daniel Tozser,52,67,82,64,78,67.40
Daniele De Rossi,68,50,81,75,79,67.40
Diego Capel,79,64,64,32,74,67.40
Filipe Oliveira,77,61,64,62,74,67.40
Inigo Martinez,75,42,81,84,76,67.40
Jerge Hoefdraad,84,60,66,23,65,67.40
Jordan Ferri,63,60,79,62,74,67.40
Kristoffer Peterson,77,64,69,26,62,67.40
Luisinho,76,57,74,33,73,67.40
Lukasz Piatek,63,65,71,62,92,67.40
Moussa Narry,72,54,72,67,93,67.40
Nelson,88,41,74,58,72,67.40
Pele,69,48,83,71,77,67.40
Richard Towell,73,60,67,63,85,67.40
Steven Lang,81,57,67,37,81,67.40
Stian Ringstad,76,51,74,67,75,67.40
Tom Rogic,65,68,74,32,74,67.40
Yaya Sanogo,69,67,75,17,65,67.40
Yoann Court,74,57,75,32,80,67.40
Zoltan Gera,61,71,77,36,58,67.40
Astrit Ajdarevic,66,58,84,41,58,67.35
Benjamin Mokulu Tembe,75,65,71,14,67,67.35
Charalampos Mavrias,77,63,66,39,72,67.35
Daryl van Mieghem,89,59,62,22,65,67.35
Duda,55,69,85,60,33,67.35
Ismael Bangoura,68,70,77,25,32,67.35
Itay Shechter,72,69,68,25,68,67.35
Javi Moreno Marquez,54,66,84,65,58,67.35
Kelvin Etuhu,81,61,60,62,73,67.35
Koikili Campo,74,49,81,57,66,67.35
Luke Varney,78,63,65,33,78,67.35
Mattias Johansson,86,45,68,67,86,67.35
Minhoca,73,60,73,41,70,67.35
Oussama Idrissi,76,60,75,20,61,67.35
Paul Gladon,69,71,68,29,70,67.35
Ruben Pinto,68,59,73,64,83,67.35
Ruud van Nistelrooy,52,79,83,16,47,67.35
Sacha Kljestan,65,66,70,61,80,67.35
Saleh Gomaa,78,58,67,52,77,67.35
Serge Gnabry,84,58,65,43,62,67.35
Uche Nwofor,74,64,72,17,70,67.35
Yannick Sagbo,67,67,74,25,74,67.35
Alessandro Diamanti,66,62,81,24,68,67.30
Cristian Amado,68,67,74,21,71,67.30
Cristian Florin Ianu,77,65,67,25,67,67.30
Eric Dier,71,44,83,77,81,67.30
Erik Falkenburg,67,71,69,34,70,67.30
Fernando Lewis,84,57,66,51,53,67.30
Frederic Bulot,69,65,73,32,72,67.30
Gabriel Obertan,79,61,67,37,67,67.30
Guillaume Hoarau,58,76,72,45,65,67.30
Ignacio Camacho,63,58,76,75,89,67.30
Jesus Gamez,76,37,84,81,83,67.30
Maniche,62,62,82,51,59,67.30
Marvin Ogunjimi,77,65,69,18,62,67.30
Muamer Tankovic,74,68,65,31,73,67.30
Pozo,68,74,69,24,56,67.30
Prince Tagoe,69,68,75,20,54,67.30
Roberto Hilbert,77,53,69,74,78,67.30
Stephen Appiah,72,55,76,62,66,67.30
Steve Jones,75,64,67,39,71,67.30
Yuya Osako,74,63,72,28,64,67.30
Alex Schalk,75,65,68,23,74,67.25
Andrew Driver,78,54,70,50,83,67.25
Aurelian Chitu,75,59,68,58,75,67.25
Bruno Gaspar,80,52,68,70,75,67.25
Christian Irobiso,68,69,72,21,70,67.25
Cicinho,75,47,79,67,72,67.25
Clement Chantome,65,63,73,69,70,67.25
Dani Quintana,79,69,59,38,65,67.25
Eduardo,67,78,69,14,47,67.25
Eric Djemba-Djemba,76,54,69,68,83,67.25
Fwayo Tembo,76,58,73,26,77,67.25
Gelson Fernandes,69,58,69,77,92,67.25
Giampiero Pinzi,66,59,77,65,68,67.25
Jan Blazek,80,61,66,32,71,67.25
Josef Martinez,89,62,60,11,68,67.25
Lukman Haruna,77,50,75,59,74,67.25
Manuel Jose,63,64,85,41,32,67.25
Mauro Caballero,75,70,67,17,56,67.25
Mikael Ishak,68,66,76,31,54,67.25
Pele van Anholt,78,43,79,68,77,67.25
Ramon Cardozo,55,76,81,18,55,67.25
Robin Quaison,79,58,65,55,78,67.25
Rodrigo Andres Battaglia,67,58,77,57,76,67.25
Ruben Garcia,75,64,69,29,68,67.25
Sascha Bigalke,78,66,65,25,66,67.25
Seko Fofana,74,58,71,55,72,67.25
Youssuf Mulumbu,64,62,72,72,85,67.25
Andre Sousa,66,58,77,65,73,67.20
Bence Mervo,74,73,63,22,62,67.20
Boubacar Sanogo,68,69,73,21,63,67.20
Carlos Eduardo,78,63,72,13,53,67.20
Duje Cop,63,79,69,15,63,67.20
Fabrice Olinga,84,58,68,25,59,67.20
Frederic Maciel,78,62,70,20,64,67.20
Gaetan Courtet,71,71,67,19,71,67.20
Ivan Klasnic,55,81,75,17,61,67.20
Jailson,77,65,68,12,72,67.20
Kamil Drygas,71,62,68,61,77,67.20
Karim El Ahmadi,68,59,75,50,82,67.20
Kayke,73,61,73,35,67,67.20
Leandrinho,80,61,63,43,77,67.20
Leon Andreasen,52,66,83,69,69,67.20
Luis Garcia,72,65,71,26,70,67.20
Mohammed Aoulad,74,66,70,11,73,67.20
Morgaro Gomis,76,53,70,69,81,67.20
Moussa Gueye,75,62,71,25,71,67.20
Nery Castillo,69,67,75,20,58,67.20
Rachid Alioui,68,68,75,14,64,67.20
Samuel Castillejo,86,57,68,22,56,67.20
Shaun Wright-Phillips,76,61,73,29,55,67.20
Steve Sidwell,53,67,78,70,86,67.20
Wessel Dammers,73,58,73,65,55,67.20
Zdenek Ondrasek,75,65,67,22,80,67.20
Aboubakar Oumarou,80,61,68,23,66,67.15
Adamo Coulibaly,64,72,71,30,71,67.15
Alhassane Keita,89,55,65,25,64,67.15
Aruna Dindane,69,67,75,18,59,67.15
Bryan Rodriguez,61,72,80,20,45,67.15
Charles Kabore,70,53,74,76,85,67.15
Dusan Tadic,70,66,69,40,73,67.15
Emil Hallfredsson,68,51,82,66,71,67.15
Emmanuel Boateng,76,64,65,29,84,67.15
Henri Bedimo,76,48,75,76,73,67.15
Idrissa Gana Gueye,70,47,80,76,85,67.15
Kamil Wilczek,68,75,66,21,68,67.15
Lex Immers,50,68,82,53,90,67.15
Nicola Amoruso,68,71,71,23,60,67.15
Nicolas Otamendi,75,53,69,83,78,67.15
Otavio,76,64,69,25,64,67.15
Sergei Kornilenko,68,68,72,27,68,67.15
Stefano Guberti,71,61,75,39,62,67.15
Suleyman Koc,87,59,62,27,68,67.15
Arkadiusz Piech,78,68,62,24,70,67.10
Arsenio,75,65,67,36,64,67.10
Aymen Abdennour,67,51,80,83,71,67.10
Billy McKay,71,65,73,16,72,67.10
Bryan Rabello,76,63,67,38,68,67.10
Ferhan Hasani,77,62,67,32,74,67.10
Frederic Sammaritano,80,65,63,20,74,67.10
Geert Arend Roorda,63,64,78,48,64,67.10
Joey Godee,74,60,72,41,65,67.10
John Goossens,63,62,81,36,70,67.10
Mattias Autret,75,62,71,46,48,67.10
Owen Hargreaves,78,49,73,74,68,67.10
Yanis Mbombo Lokwa,80,66,64,15,67,67.10
Alexander Farnerud,66,59,80,51,60,67.05
Alfred N'Diaye,79,46,73,75,78,67.05
Branislav Ivanovic,66,57,73,87,78,67.05
Bruno Teles,73,48,77,70,83,67.05
Daniele Dessena,71,55,73,60,87,67.05
Gadji Tallo,69,70,70,21,66,67.05
Geremi,72,45,82,74,73,67.05
Hector Bellerin,94,52,52,74,79,67.05
Helder Pelembe,66,70,75,25,50,67.05
Jasmin Kurtic,69,48,82,68,79,67.05
Jordan Bowery,81,63,65,21,66,67.05
Laurent Ciman,76,41,80,80,79,67.05
Massimiliano Porcello,66,54,83,58,65,67.05
Remo Freuler,69,63,69,56,79,67.05
Renato Santos,77,66,66,22,65,67.05
Ronny Carlos da Silva,68,69,73,34,47,67.05
Sidney Govou,71,64,73,37,56,67.05
Valon Behrami,67,56,76,69,78,67.05
William Buckley,78,67,63,25,68,67.05
Adrian Stoian,78,59,70,28,70,67.00
Albert Riera,69,60,72,72,62,67.00
Alvaro Gonzalez,74,51,74,71,75,67.00
Diego Lopes,72,65,69,41,63,67.00
Dimitrios Pelkas,82,60,67,21,65,67.00
Edgar Bernhardt,82,64,64,25,55,67.00
Esteban Granero,59,66,78,55,67,67.00
Fellipe Bastos,63,55,82,68,72,67.00
Fran Merida,66,61,78,44,66,67.00
Frederik Boi,68,66,65,60,86,67.00
Fredrik Ulvestad,68,63,71,49,79,67.00
Herve Kage,78,53,72,57,65,67.00
Jaime,81,70,58,28,58,67.00
Juan Falcon,71,68,70,19,67,67.00
Koen Daerden,65,64,72,52,82,67.00
Lucas Biglia,69,52,77,72,80,67.00
Marcello Trotta,68,71,67,36,68,67.00
Matheus Carvalho,74,68,67,22,64,67.00
Niccolo Giannetti,84,66,60,14,66,67.00
Nicky Hofs,68,62,74,52,64,67.00
Ola Toivonen,55,73,79,36,62,67.00
Vincent Vermeij,67,72,69,22,70,67.00
Willy Overtoom,74,65,71,40,40,67.00
Ze Roberto,62,69,71,70,58,67.00
Abdoulay Konko,79,50,71,70,69,66.95
Adrien Hunou,73,65,65,49,72,66.95
Ager Aketxe,62,68,75,37,72,66.95
Alessandro Rosina,73,61,74,20,71,66.95
Bernardo Corradi,62,71,76,29,56,66.95
Chung-Yong Lee,76,62,65,42,79,66.95
